Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,93.716,-89.154,0.0,top
C2,0.1uF,C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,93.462,-93.472,0.0,top
C3,47uF,C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,93.208,-101.6,0.0,top
C4,0.1uF,C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,84.064,-94.742,-90.0,top
C5,47uF,C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,94.732,-110.236,90.0,top
C6,0.1uF,C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,93.462,-97.536,0.0,top
D1,TSAL6200,LEDRD254W55D595H900,80.508,-104.5545,-90.0,top
D2,TSAL6200,LEDRD254W55D595H900,125.212,-114.6475,90.0,top
D3,TSAL6200,LEDRD254W55D595H900,109.3705,-133.096,0.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,103.632,-82.809,-90.0,top
JP1,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,83.08,-109.28,180.0,top
JP2,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,118.608,-133.35,-90.0,top
JP3,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,121.49,-110.28,0.0,top
JP4,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,84.064,-125.476,-90.0,top
JP5,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,98.288,-113.538,180.0,top
JP6,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,125.324,-124.46,0.0,top
JP7,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,125.72,-82.55,0.0,top
JP8,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,128.94,-110.31,180.0,top
JP9,J_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,125.64,-85.35,0.0,top
Q1,2N7000,TO92-,79.301499,-97.028,-90.0,top
Q2,SFH_313_FA,XDCR_SFH_313_FA,80.68,-114.78,90.0,top
Q3,2N7000,TO92-,119.179499,-116.078,-90.0,top
Q4,SFH_313_FA,XDCR_SFH_313_FA,125.105089,-104.754911,-90.0,top
Q5,2N7000,TO92-,112.766,-122.237499,180.0,top
Q6,SFH_313_FA,XDCR_SFH_313_FA,100.975089,-132.842,180.0,top
R1,100,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,116.83,-93.201,-90.0,top
R2,47k,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,115.052,-104.14,0.0,top
R3,51,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,87.874,-108.949,-90.0,top
R4,100,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,109.718,-92.964,-90.0,top
R5,47k,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,102.335,-107.95,0.0,top
R6,51,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,105.146,-121.158,90.0,top
R7,1.8k,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,115.56,-109.728,180.0,top
R8,100,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,103.114,-92.693,-90.0,top
R9,47k,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,118.1,-128.524,180.0,top
R10,1.8k,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,122.926,-93.218,-90.0,top
R11,51,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,97.272,-121.92,90.0,top
R12,1.8k,R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,89.652,-121.158,90.0,top
R13,6.8k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,115.052,-132.985,-90.0,top
R14,6.8k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,80.762,-122.571,-90.0,top
R15,6.8k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,125.466,-119.634,0.0,top
TP1,TP,TestPoint_Bridge_Pitch2.0mm_Drill0.7mm,82.27,-85.09,180.0,top
TP2,TP,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,122.418,-133.096,-90.0,top
TP3,TP,TestPoint_Bridge_Pitch2.0mm_Drill0.7mm,104.384,-114.554,180.0,top
TP4,TP,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,80.508,-91.44,90.0,top
TP5,TP,TestPoint_Bridge_Pitch2.0mm_Drill0.7mm,86.45,-118.73,90.0,top
TP6,TP,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,121.656,-124.206,0.0,top
